Q1W,Q2W,Q3W,Q4W,Q1STD,Q2STD,Q3STD,Q4STD,QSTD,Q1_2STD,Q2_3STD,Q3_4STD,TYPE
1.000000,1.000000,0.000000,1.000000,0.076923,0.452288,0.000000,0.309405,1.596154,0.354975,0.480119,0.224873,NORM
1.000000,2.000000,1.000000,1.000000,0.414753,0.487950,0.457784,0.489320,2.671598,0.759607,0.802636,0.810251,NORM
2.000000,1.000000,1.000000,1.000000,0.620458,0.361873,0.323974,0.343908,2.646450,0.704420,0.592334,0.609104,NORM
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.169945,0.242604,0.000000,0.000000,0.500522,NORM
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.457784,0.000000,0.323964,0.000000,0.355556,0.478324,NORM
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.476187,0.000000,0.414201,0.000000,0.470328,0.377589,NORM
1.000000,0.000000,0.000000,1.000000,0.443322,0.000000,0.000000,0.489320,0.968935,0.482663,0.000000,0.460977,NORM
1.000000,0.000000,0.000000,1.000000,0.501266,0.000000,0.000000,0.446410,0.946746,0.429293,0.000000,0.343397,NORM
0.000000,1.000000,0.000000,1.000000,0.000000,0.410657,0.000000,0.406432,0.748521,0.489248,0.308945,0.305128,NORM
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.446410,0.000000,0.431953,0.000000,0.481835,0.343397,NORM
1.000000,0.000000,0.000000,1.000000,0.460392,0.000000,0.000000,0.489320,1.076923,0.358470,0.000000,0.460977,NORM
0.000000,1.000000,0.000000,1.000000,0.000000,0.343908,0.000000,0.276460,0.736686,0.496082,0.252200,0.199555,NORM
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.446410,0.000000,0.431953,0.000000,0.481835,0.343397,NORM
1.000000,0.000000,1.000000,0.000000,0.267261,0.000000,0.388170,0.000000,1.434911,0.192593,0.492245,0.289053,NORM
1.000000,0.000000,0.000000,0.000000,0.108461,0.000000,0.000000,0.000000,0.997041,0.076809,0.000000,0.000000,NORM
1.000000,0.000000,0.000000,0.000000,0.212990,0.000000,0.000000,0.000000,0.761834,0.500180,0.000000,0.000000,NORM
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.457784,0.000000,0.323964,0.000000,0.355556,0.478324,NORM
1.000000,0.000000,0.000000,0.000000,0.489320,0.000000,0.000000,0.000000,0.847633,0.460977,0.000000,0.000000,NORM
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.267261,0.230769,0.000000,0.000000,0.499258,NORM
0.000000,1.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.000000,0.748521,0.500733,0.054393,0.000000,NORM
1.000000,1.000000,0.000000,1.000000,0.388170,0.309405,0.000000,0.418726,1.536982,0.379364,0.497893,0.316358,NORM
1.000000,2.000000,18.000000,2.000000,0.484982,0.487155,4.332469,0.729756,10.347633,0.898013,8.081792,3.836711,OCCLUDE
10.000000,1.000000,20.000000,5.000000,4.304265,0.483381,6.083903,1.363726,17.779586,4.480171,7.054280,7.782487,OCCLUDE
4.000000,1.000000,13.000000,22.000000,0.597732,0.388170,4.821292,7.270490,10.967456,0.705740,4.040874,10.492929,OCCLUDE
0.000000,0.000000,28.000000,4.000000,0.000000,0.000000,10.179503,1.164118,9.957101,0.000000,8.414833,13.325698,OCCLUDE
1.000000,0.000000,30.000000,11.000000,0.152466,0.000000,9.114361,3.416805,10.594675,0.108300,7.066138,15.053054,OCCLUDE
1.000000,19.000000,19.000000,7.000000,0.469933,5.674360,5.915193,2.359641,19.699704,4.274270,14.668507,8.147274,OCCLUDE
1.000000,1.000000,19.000000,25.000000,0.309405,0.440132,7.163312,8.565742,12.099112,0.569052,5.921424,16.986403,OCCLUDE
2.000000,1.000000,30.000000,14.000000,0.672278,0.293635,5.124403,3.535873,15.396450,0.659911,11.344098,7.082005,OCCLUDE
6.000000,1.000000,4.000000,1.000000,0.886405,0.495969,1.538462,0.108461,7.887574,0.804449,1.378620,1.812476,EDGE
32.000000,1.000000,2.000000,1.000000,3.469334,0.455083,0.636209,0.330859,33.362426,2.515605,1.323687,0.550578,EDGE
1.000000,1.000000,2.000000,3.000000,0.132439,0.406432,0.594838,0.763763,2.630178,0.322133,0.758728,1.960078,EDGE
7.000000,1.000000,2.000000,1.000000,1.728468,0.457784,0.672174,0.496820,7.426036,2.875653,0.875380,0.919551,EDGE
9.000000,2.000000,1.000000,2.000000,3.613777,0.583238,0.491832,0.607029,10.164201,3.288060,0.935171,0.883684,EDGE
44.000000,11.000000,1.000000,1.000000,8.489605,2.981959,0.478106,0.472101,52.485207,8.865714,10.257789,12.026680,EDGE
14.000000,1.000000,1.000000,2.000000,4.444367,0.495969,0.490613,0.523806,12.319527,6.753882,0.642062,0.809367,EDGE
60.000000,1.000000,1.000000,1.000000,9.850560,0.481702,0.474186,0.498942,60.158284,7.359583,0.700370,0.625691,EDGE
15.000000,8.000000,2.000000,3.000000,1.263027,1.289165,0.786796,0.700350,20.686391,5.434475,1.407406,1.591830,EDGE
50.000000,1.000000,1.000000,1.000000,11.659651,0.337499,0.433440,0.487950,49.295858,8.894854,0.681205,0.732111,EDGE
1.000000,10.000000,1.000000,1.000000,0.495969,3.589338,0.285238,0.330859,8.072485,4.848445,2.820165,0.603318,EDGE
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.436839,0.063609,0.000000,0.000000,0.333712,NORM
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.469933,0.168639,0.000000,0.000000,0.473482,NORM
1.000000,0.000000,0.000000,0.000000,0.489320,0.000000,0.000000,0.076923,0.903846,0.396993,0.000000,0.054393,NORM
1.000000,1.000000,0.000000,0.000000,0.276460,0.487950,0.000000,0.000000,1.575444,0.459986,0.462223,0.000000,NORM
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.498307,0.110947,0.000000,0.000000,0.416136,NORM
1.000000,0.000000,0.000000,1.000000,0.479944,0.000000,0.000000,0.472101,1.005917,0.468121,0.000000,0.472451,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
1.000000,0.000000,0.000000,1.000000,0.152466,0.000000,0.000000,0.276460,1.223373,0.108300,0.000000,0.499020,NORM
52.000000,0.000000,1.000000,0.000000,4.003301,0.000000,0.501407,0.000000,52.278107,2.833521,0.436190,0.431058,NORM
14.000000,2.000000,2.000000,5.000000,1.125225,0.612861,0.453533,0.898443,15.803254,1.599039,0.598138,1.271841,NORM
2.000000,0.000000,1.000000,0.000000,0.525552,0.000000,0.257598,0.000000,2.105030,0.493883,0.185322,0.499477,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
1.000000,0.000000,0.000000,0.000000,0.225208,0.000000,0.000000,0.000000,0.986686,0.161230,0.000000,0.000000,NORM
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.285238,0.000000,0.477811,0.000000,0.498765,0.206240,NORM
0.000000,0.000000,13.000000,7.000000,0.000000,0.000000,4.120380,2.790201,6.016272,0.000000,4.406501,6.468514,OCCLUDE
1.000000,0.000000,10.000000,9.000000,0.497599,0.000000,3.460663,2.369130,4.501479,0.414137,2.550673,6.484485,OCCLUDE
0.000000,13.000000,7.000000,12.000000,0.000000,6.436634,2.901695,3.941260,12.513314,5.430063,7.173664,6.778132,OCCLUDE
0.000000,0.000000,24.000000,8.000000,0.000000,0.000000,8.076635,2.576745,9.103550,0.000000,6.600848,13.040169,OCCLUDE
1.000000,8.000000,11.000000,10.000000,0.414753,1.979324,3.317294,2.075939,9.874260,1.569623,7.596868,4.230042,OCCLUDE
1.000000,0.000000,17.000000,13.000000,0.500000,0.000000,6.237396,4.445088,8.747041,0.444218,6.764704,7.725457,OCCLUDE
1.000000,0.000000,11.000000,17.000000,0.257598,0.000000,5.334797,5.102030,6.843195,0.499477,4.289987,9.600214,OCCLUDE
0.000000,1.000000,0.000000,29.000000,0.000000,0.479944,0.000000,10.575451,2.571006,0.382670,0.468121,8.456833,OCCLUDE
1.000000,0.000000,17.000000,10.000000,0.495044,0.153846,5.530519,2.565801,9.464497,0.470916,7.244229,15.235572,OCCLUDE
8.000000,1.000000,10.000000,21.000000,1.380131,0.388170,3.326338,7.671093,14.356509,1.606455,3.407318,10.518164,OCCLUDE
27.000000,6.000000,6.000000,11.000000,10.236259,2.985595,2.182502,4.320494,30.748521,9.608543,3.576811,4.769894,OCCLUDE
23.000000,17.000000,0.000000,17.000000,6.319207,4.012976,0.000000,8.027360,34.686391,11.337051,3.641475,6.914985,OCCLUDE
35.000000,7.000000,4.000000,11.000000,7.089464,0.440132,1.783921,5.448018,40.659763,9.502380,1.860328,5.185567,OCCLUDE
23.000000,6.000000,0.000000,5.000000,7.175064,2.414311,0.000000,1.859006,26.318047,6.351593,2.076166,1.381089,OCCLUDE
40.000000,2.000000,1.000000,27.000000,15.368384,0.937427,0.397584,9.355815,40.726331,12.643778,0.898712,8.050250,OCCLUDE
53.000000,1.000000,0.000000,11.000000,14.043546,0.426311,0.000000,2.994371,50.312130,12.890303,0.486513,2.656757,OCCLUDE
0.000000,1.000000,12.000000,0.000000,0.000000,0.443322,4.658045,0.000000,6.133136,0.482663,6.026287,3.468630,EDGE
28.000000,11.000000,0.000000,1.000000,2.960611,3.980608,0.000000,0.350100,33.838757,3.789382,5.442579,0.495666,EDGE
51.000000,1.000000,10.000000,0.000000,11.174425,0.499507,3.239740,0.000000,55.576923,8.081212,5.227677,2.362954,EDGE
52.000000,1.000000,9.000000,0.000000,11.288461,0.392950,2.977728,0.000000,55.899408,8.183301,4.841731,2.175747,EDGE
2.000000,8.000000,0.000000,0.000000,0.620571,3.722708,0.000000,0.000000,6.288462,3.293055,3.803839,0.000000,EDGE
2.000000,1.000000,7.000000,1.000000,0.597614,0.212990,2.814533,0.478106,5.516272,0.660894,3.835447,2.199409,EDGE
0.000000,1.000000,13.000000,3.000000,0.000000,0.000000,3.636802,0.325384,6.715976,0.500741,5.999508,2.804953,EDGE
0.000000,1.000000,0.000000,0.000000,0.000000,0.372898,0.000000,0.000000,0.541420,0.276049,0.493821,0.000000,EDGE
0.000000,1.000000,0.000000,0.000000,0.000000,0.422577,0.000000,0.000000,0.557692,0.319959,0.487226,0.000000,EDGE
0.000000,14.000000,0.000000,1.000000,0.000000,3.949250,0.000000,0.267261,7.671598,3.079372,6.348815,0.192593,EDGE
0.000000,3.000000,1.000000,1.000000,0.000000,0.914451,0.383239,0.169945,2.189349,0.788912,1.619832,0.313641,EDGE
1.000000,7.000000,0.000000,0.000000,0.433440,3.458087,0.000000,0.000000,5.334320,3.121139,2.980651,0.000000,EDGE
1.000000,0.000000,9.000000,1.000000,0.474186,0.000000,3.938587,0.276460,4.480769,0.374988,3.530304,3.944824,EDGE
0.000000,1.000000,0.000000,0.000000,0.000000,0.440132,0.000000,0.000000,0.565089,0.336998,0.483472,0.000000,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
0.000000,1.000000,0.000000,0.000000,0.000000,0.501407,0.000000,0.000000,0.622781,0.431058,0.436190,0.000000,NORM
0.000000,1.000000,0.000000,0.000000,0.000000,0.497599,0.000000,0.000000,0.640533,0.450186,0.414137,0.000000,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
1.000000,0.000000,0.000000,0.000000,0.108461,0.000000,0.000000,0.000000,0.997041,0.076809,0.000000,0.000000,NORM
5.000000,1.000000,0.000000,1.000000,2.013794,0.499507,0.000000,0.467679,5.156805,1.961045,0.445747,0.366930,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NORM
0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.212990,0.000000,0.488166,0.000000,0.500180,0.152240,NORM
0.000000,1.000000,0.000000,0.000000,0.000000,0.361873,0.000000,0.000000,0.538462,0.266864,0.494780,0.000000,NORM
1.000000,0.000000,1.000000,0.000000,0.426311,0.000000,0.236647,0.000000,1.294379,0.486513,0.499864,0.169693,NORM
1.000000,0.000000,1.000000,0.000000,0.185597,0.000000,0.500774,0.000000,1.359467,0.132243,0.425678,0.441084,NORM
1.000000,0.000000,0.000000,1.000000,0.152466,0.000000,0.000000,0.498942,0.868343,0.500601,0.000000,0.418104,NORM
0.000000,1.000000,0.000000,1.000000,0.000000,0.494047,0.000000,0.267261,0.834320,0.405829,0.455767,0.499258,NORM
1.000000,0.000000,0.000000,1.000000,0.276460,0.000000,0.000000,0.247415,0.995562,0.199555,0.000000,0.177704,NORM
0.000000,0.000000,11.000000,6.000000,0.000000,0.000000,3.363990,2.525051,4.568047,0.000000,2.865470,6.644366,OCCLUDE
1.000000,0.000000,14.000000,3.000000,0.169945,0.000000,4.157999,1.022017,6.609467,0.120902,4.473056,5.421831,OCCLUDE
0.000000,0.000000,12.000000,6.000000,0.000000,0.000000,5.498533,2.092601,5.702663,0.000000,4.878386,6.903633,OCCLUDE
7.000000,1.000000,11.000000,7.000000,2.602722,0.378151,3.986753,1.875342,12.097633,2.260433,3.968889,5.282663,OCCLUDE
0.000000,1.000000,22.000000,4.000000,0.000000,0.301681,5.107709,1.203305,11.312130,0.218879,10.496123,4.642294,OCCLUDE
1.000000,8.000000,9.000000,6.000000,0.433440,2.115135,2.674246,1.955874,9.980769,2.442325,5.051955,4.529368,OCCLUDE
11.000000,4.000000,10.000000,13.000000,3.429676,1.498966,2.674128,3.575534,18.350592,3.729178,4.747338,6.289995,OCCLUDE
14.000000,7.000000,3.000000,8.000000,4.079808,2.331033,0.923535,2.126246,19.843195,4.945893,3.061518,2.693582,OCCLUDE
2.000000,20.000000,19.000000,5.000000,0.638806,5.650631,6.134970,1.834210,20.803254,4.562030,14.600360,7.557715,OCCLUDE
3.000000,21.000000,18.000000,7.000000,0.819640,5.775119,5.641492,2.367271,23.375740,6.975258,11.867507,6.863248,OCCLUDE
12.000000,17.000000,10.000000,2.000000,3.699836,5.150435,3.110769,0.635600,26.121302,8.183880,8.334419,3.207003,OCCLUDE
34.000000,0.000000,8.000000,28.000000,10.771755,0.000000,3.432027,8.845083,37.032544,10.076721,3.170440,10.897584,OCCLUDE
31.000000,1.000000,6.000000,22.000000,7.699452,0.199852,2.506922,8.106965,34.556213,5.947730,2.865384,6.752363,OCCLUDE
32.000000,1.000000,5.000000,16.000000,8.130933,0.498942,2.257154,4.515081,33.900888,6.264756,2.216235,4.182945,OCCLUDE
20.000000,1.000000,5.000000,38.000000,4.890791,0.323974,1.728611,11.453660,23.624260,3.705524,2.086719,8.881746,OCCLUDE
24.000000,0.000000,3.000000,21.000000,10.009586,0.000000,1.060079,5.758225,23.582840,8.841434,0.988654,5.218719,OCCLUDE
35.000000,0.000000,13.000000,11.000000,11.202049,0.000000,5.365304,3.704250,39.412722,9.132606,5.324922,7.499159,OCCLUDE
37.000000,3.000000,9.000000,26.000000,12.260768,0.554383,2.269324,7.395520,40.088757,11.534028,3.631712,9.674085,OCCLUDE
48.000000,1.000000,9.000000,24.000000,19.518081,0.422577,3.410614,10.452272,48.315089,17.590055,2.758770,10.719717,OCCLUDE
38.000000,14.000000,0.000000,12.000000,12.893677,5.152383,0.000000,2.734520,42.196746,22.188470,3.931329,3.780560,OCCLUDE
48.000000,0.000000,0.000000,5.000000,22.176831,0.000000,0.000000,2.305310,43.633136,18.826807,0.000000,2.358402,OCCLUDE
1.000000,0.000000,3.000000,0.000000,0.212990,0.000000,1.240404,0.000000,2.011834,0.152240,1.033192,1.295098,EDGE
0.000000,2.000000,1.000000,0.000000,0.000000,0.878342,0.276460,0.000000,1.653846,0.711926,1.287350,0.199555,EDGE
1.000000,0.000000,2.000000,0.000000,0.472101,0.000000,0.689044,0.000000,1.822485,0.372345,0.946463,0.522155,EDGE
52.000000,1.000000,4.000000,0.000000,10.388488,0.378151,1.733758,0.000000,53.411243,7.492469,1.382207,1.940125,EDGE
49.000000,0.000000,4.000000,0.000000,10.772390,0.000000,2.005908,0.000000,49.690828,7.775452,1.731184,1.738027,EDGE
1.000000,0.000000,5.000000,0.000000,0.410657,0.000000,2.053284,0.000000,3.036982,0.489248,2.446242,1.544726,EDGE
0.000000,1.000000,4.000000,0.000000,0.000000,0.212990,1.760530,0.076923,2.000000,0.500180,1.365641,1.936921,EDGE
0.000000,1.000000,9.000000,0.000000,0.000000,0.330859,2.368610,0.000000,5.028107,0.496860,4.514379,1.715496,EDGE
0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.860395,0.000000,0.821006,0.000000,0.623914,1.489512,EDGE
33.000000,0.000000,2.000000,1.000000,3.579226,0.000000,0.515196,0.225208,33.674556,2.534692,0.370643,1.459477,EDGE
64.000000,0.000000,2.000000,0.000000,11.672014,0.000000,0.687816,0.000000,61.788462,9.945447,0.504401,0.992165,EDGE
47.000000,0.000000,0.000000,4.000000,10.584762,0.000000,0.000000,1.268037,47.255917,7.577811,0.000000,1.979918,EDGE
1.000000,1.000000,8.000000,0.000000,0.343908,0.225208,3.776195,0.000000,4.309172,0.543290,3.658917,3.320564,EDGE
0.000000,1.000000,10.000000,2.000000,0.000000,0.501407,4.577839,0.356974,5.118343,0.431058,4.986640,3.784622,EDGE
0.000000,0.000000,13.000000,1.000000,0.000000,0.000000,6.191500,0.501266,4.718935,0.000000,5.137750,5.972041,EDGE
0.000000,7.000000,0.000000,0.000000,0.000000,1.623020,0.000000,0.000000,3.815089,1.308239,3.094109,0.000000,EDGE
0.000000,0.000000,7.000000,8.000000,0.000000,0.000000,0.931812,1.013817,3.510355,0.000000,3.499442,0.984833,EDGE
0.000000,3.000000,5.000000,1.000000,0.000000,0.539246,0.551772,0.402076,4.424556,0.617322,3.526771,0.649674,EDGE
0.000000,2.000000,3.000000,1.000000,0.000000,0.597614,1.097109,0.420823,2.769231,0.571323,2.072630,1.047818,EDGE
47.000000,1.000000,2.000000,1.000000,9.890326,0.486504,0.975142,0.236647,46.900888,7.610956,1.045709,0.950794,EDGE
35.000000,0.000000,1.000000,4.000000,4.665789,0.000000,0.500000,1.890102,35.279586,3.428864,0.444218,1.688215,EDGE